C0	N	Idle
5	 1 	 73.74
8	 2 	 49.49
12	 3 	 39
12	 4 	 32.65
15	 5 	 32.67
18	 6 	 35.35
21	 7 	 34.34
25	 8 	 21
19	 9 	 20
20	 10 	 15.15
22	 11 	 17.17
25	 12 	 23
27	 13 	 19.19
28	 14 	 14.14
30	 15 	 11.11
32	 16 	 5
34	 17 	 2.02
20	 18 	 3
19	 19 	 6
20	 20 	 0
21	 21 	 0
22	 22 	 0
23	 23 	 0
24	 24 	 0
25	 25 	 0
26	 26 	 0
27	 27 	 0
28	 28 	 0
29	 29 	 0
30	 30 	 2.02
31	 31 	 0
32	 32 	 0
33	 33 	 0
34	 34 	 0
36	 35 	 0
37	 36 	 0
37	 37 	 0
38	 38 	 0
39	 39 	 0
40	 40 	 0
41	 41 	 0
40	 42 	 0
40	 43 	 0
42	 44 	 0
40	 45 	 0
38	 46 	 0
26	 47 	 0
31	 48 	 0
27	 49 	 0
15	 50 	 0
